Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-19,24.88498306274414,46.204105377197266,26.3740234375,23.501096725463867,64.09521484375,33.14059066772461,41.185298919677734,24.02458953857422,19.56110954284668,74.01789093017578,51.81313705444336
2018-06-20,24.80414581298828,46.777496337890625,26.490482330322266,23.440950393676758,64.13898468017578,33.210182189941406,41.225624084472656,24.283897399902344,19.576696395874023,74.17488098144531,52.05881118774414
2018-06-21,24.540361404418945,46.490806579589844,25.99997329711914,23.37220573425293,63.33374786376953,32.955013275146484,41.306278228759766,24.428808212280273,19.642955780029297,73.74748992919922,51.68798065185547
2018-06-22,24.897748947143555,46.69425582885742,26.518712997436523,23.260499954223633,63.55253219604492,32.848297119140625,41.645057678222656,24.642364501953125,19.779367446899414,74.07894134521484,51.59990310668945
2018-06-25,24.510581970214844,45.732452392578125,25.985858917236328,23.011306762695312,62.74734878540039,32.166263580322266,41.85477828979492,24.581350326538086,20.106748580932617,73.3985824584961,50.47818374633789
2018-06-26,24.60418128967285,45.80828094482422,26.31403923034668,22.93397331237793,62.9836311340332,32.29619216918945,41.67732620239258,24.711008071899414,20.130130767822266,73.17180633544922,50.83974075317383
2018-06-27,24.52760124206543,45.408756256103516,26.666913986206055,22.65041160583496,62.47600173950195,31.855426788330078,41.588600158691406,24.642364501953125,20.227571487426758,72.55252075195312,50.181522369384766
2018-06-28,24.621198654174805,45.861942291259766,26.631633758544922,22.84804916381836,62.56353759765625,32.24515151977539,41.588600158691406,24.886415481567383,20.219770431518555,72.6484603881836,50.575523376464844
2018-06-29,24.706289291381836,45.806434631347656,26.797475814819336,22.84804916381836,62.694801330566406,32.23124694824219,41.56439971923828,24.94744110107422,20.250951766967773,72.79674530029297,50.66359329223633
2018-07-02,24.57439613342285,46.09312438964844,26.402257919311523,22.95975685119629,62.834861755371094,32.51889419555664,41.322425842285156,24.80252456665039,20.395164489746094,73.0235366821289,50.733123779296875
2018-07-03,24.53184700012207,45.528995513916016,26.56810760498047,22.753530502319336,62.6335563659668,32.1338005065918,41.419212341308594,24.94744110107422,20.453617095947266,73.19795989990234,50.47818374633789
2018-07-05,24.744585037231445,46.222618103027344,26.53987693786621,22.805086135864258,62.93988037109375,32.58848190307617,41.99190139770508,25.275394439697266,20.562746047973633,73.95683288574219,50.728485107421875
2018-07-06,24.867965698242188,46.953216552734375,26.702198028564453,22.916786193847656,63.15869140625,32.96892166137695,42.12096405029297,25.382165908813477,20.7225341796875,75.02094268798828,51.12711715698242
2018-07-09,25.089197158813477,47.22142028808594,27.100950241088867,23.440950393676758,64.33153533935547,33.21946716308594,41.95964050292969,25.145734786987305,20.083364486694336,75.57046508789062,51.738975524902344
2018-07-10,25.30193328857422,47.20198440551758,27.302087783813477,23.355018615722656,64.5328369140625,33.29833221435547,42.4597282409668,25.26776695251465,20.274335861206055,75.8582992553711,51.8502197265625
2018-07-11,24.876474380493164,47.13819122314453,26.723377227783203,23.243309020996094,63.47377014160156,33.16843795776367,42.32261276245117,25.19149398803711,20.457515716552734,75.2564468383789,51.72969436645508
2018-07-12,24.936037063598633,47.87803649902344,26.769254684448242,23.286277770996094,64.21774291992188,33.69270706176758,42.266143798828125,25.25251007080078,20.473100662231445,76.09382629394531,52.07271194458008
2018-07-13,24.923269271850586,47.804054260253906,26.9104061126709,23.18317222595215,64.55036163330078,33.655582427978516,42.54039764404297,25.168617248535156,20.477001190185547,76.23336791992188,52.188594818115234
