date,etf,day_ahead,mean,q10,q20,q30,q40,q50,q60,q70,q80,q90
2023-01-03,XLB,1,36.34260177612305,35.68269348144531,35.90149688720703,36.06499481201172,36.21153259277344,36.34260177612305,36.47623062133789,36.611610412597656,36.787109375,37.04957962036133
2023-01-03,XLB,2,36.33980178833008,35.39204788208008,35.741092681884766,35.97911071777344,36.16860580444336,36.33980178833008,36.51288604736328,36.69510269165039,36.92609786987305,37.26420974731445
2023-01-03,XLB,3,36.327396392822266,35.21010208129883,35.60824203491211,35.88467788696289,36.11600875854492,36.327396392822266,36.55100631713867,36.78302001953125,37.071189880371094,37.472381591796875
2023-01-03,XLB,4,36.33376693725586,35.043617248535156,35.50111770629883,35.820709228515625,36.08499526977539,36.33376693725586,36.59023666381836,36.86428451538086,37.19858932495117,37.66171646118164
2023-01-03,XLB,5,36.34169006347656,34.87266159057617,35.40966033935547,35.775054931640625,36.070701599121094,36.34169006347656,36.624794006347656,36.92180633544922,37.28874206542969,37.79330062866211
2023-01-03,XLB,6,36.34745788574219,34.739898681640625,35.31525421142578,35.713375091552734,36.04434585571289,36.34745788574219,36.6565055847168,36.979732513427734,37.37696838378906,37.9350700378418
2023-01-03,XLB,7,36.378787994384766,34.641990661621094,35.26631164550781,35.697547912597656,36.05091094970703,36.378787994384766,36.71333312988281,37.055572509765625,37.481170654296875,38.07494354248047
2023-01-03,XLB,8,36.40135192871094,34.547096252441406,35.20918655395508,35.66957092285156,36.051944732666016,36.40135192871094,36.76056671142578,37.12904357910156,37.59482955932617,38.25703048706055
2023-01-03,XLB,9,36.4328498840332,34.44670104980469,35.16887664794922,35.661224365234375,36.06461715698242,36.4328498840332,36.80421829223633,37.18300247192383,37.65282440185547,38.30976867675781
2023-01-03,XLB,10,36.4422492980957,34.353759765625,35.10469055175781,35.61814880371094,36.049747467041016,36.4422492980957,36.83146286010742,37.23755645751953,37.739749908447266,38.446502685546875
2023-01-03,XLB,11,36.42965316772461,34.2017822265625,35.02056884765625,35.567344665527344,36.01728820800781,36.42965316772461,36.843910217285156,37.26882553100586,37.788177490234375,38.49896240234375
2023-01-03,XLB,12,36.42943572998047,34.11116409301758,34.956443786621094,35.536720275878906,36.00662612915039,36.42943572998047,36.85356140136719,37.29724884033203,37.838375091552734,38.589874267578125
2023-01-03,XLB,13,36.41660690307617,34.036102294921875,34.885379791259766,35.478515625,35.967437744140625,36.41660690307617,36.8697395324707,37.3392219543457,37.905757904052734,38.686763763427734
2023-01-03,XLB,14,36.391658782958984,33.867557525634766,34.76334762573242,35.39445114135742,35.91770553588867,36.391658782958984,36.86083984375,37.33763122558594,37.93034362792969,38.76823806762695
2023-01-03,XLB,15,36.37860107421875,33.84071731567383,34.73745346069336,35.37453842163086,35.90065383911133,36.37860107421875,36.858970642089844,37.34549331665039,37.95335388183594,38.78528594970703
2023-01-03,XLB,16,36.403079986572266,33.718528747558594,34.67301559448242,35.34464645385742,35.89706039428711,36.403079986572266,36.9039421081543,37.41227340698242,38.03793716430664,38.9163932800293
2023-01-03,XLB,17,36.25002670288086,33.319217681884766,34.352046966552734,35.07905960083008,35.689571380615234,36.25002670288086,36.819297790527344,37.38164138793945,38.05205154418945,38.95684814453125
2023-01-03,XLB,18,36.18102264404297,33.148258209228516,34.2145881652832,34.97187805175781,35.60428237915039,36.18102264404297,36.761985778808594,37.3361701965332,38.026527404785156,38.971797943115234
2023-01-03,XLB,19,36.181636810302734,33.074100494384766,34.17616271972656,34.952369689941406,35.59835433959961,36.181636810302734,36.7767448425293,37.36378860473633,38.073055267333984,39.045928955078125
2023-01-03,XLB,20,36.19216537475586,33.03342056274414,34.16303634643555,34.944637298583984,35.59617233276367,36.19216537475586,36.803104400634766,37.41372299194336,38.1460075378418,39.135223388671875
2023-01-03,XLB,21,36.20974349975586,32.94350814819336,34.124610900878906,34.93250274658203,35.595272064208984,36.20974349975586,36.83598709106445,37.456153869628906,38.18550491333008,39.18780517578125
2023-01-03,XLC,1,46.09148406982422,44.82173538208008,45.21834945678711,45.60553741455078,45.743438720703125,46.09148406982422,46.27876281738281,46.65340805053711,46.94934844970703,47.49095153808594
2023-01-03,XLC,2,45.99477767944336,44.52449035644531,44.97894287109375,45.43583679199219,45.65047836303711,45.99477767944336,46.18952560424805,46.49774169921875,46.94938278198242,47.47029113769531
2023-01-03,XLC,3,45.976688385009766,44.06278610229492,44.75894546508789,45.19446563720703,45.56866455078125,45.976688385009766,46.20149230957031,46.55537414550781,47.04096221923828,47.52442169189453
2023-01-03,XLC,4,45.80284118652344,43.88379669189453,44.611724853515625,45.08356475830078,45.50609588623047,45.80284118652344,46.2974853515625,46.581817626953125,47.09888458251953,47.722068786621094
2023-01-03,XLC,5,45.735382080078125,43.60894775390625,44.37749099731445,44.994720458984375,45.42524719238281,45.735382080078125,46.12718200683594,46.55142593383789,47.19279479980469,47.83442306518555
2023-01-03,XLC,6,45.70624542236328,43.379150390625,44.24589157104492,44.82671356201172,45.334251403808594,45.70624542236328,46.238037109375,46.596458435058594,47.19658660888672,48.03849792480469
