date,etf,day_ahead,mean,q10,q20,q30,q40,q50,q60,q70,q80,q90
2023-01-03,XLB,1,36.283416748046875,35.6250114440918,35.8441047668457,36.007816314697266,36.15208053588867,36.283416748046875,36.41410446166992,36.54540252685547,36.714595794677734,36.97703170776367
2023-01-03,XLB,2,36.29605484008789,35.30592346191406,35.66574478149414,35.91168975830078,36.11122131347656,36.29605484008789,36.48306655883789,36.678565979003906,36.921085357666016,37.270538330078125
2023-01-03,XLB,3,36.293941497802734,35.1039924621582,35.52592086791992,35.81837844848633,36.0657958984375,36.293941497802734,36.53243637084961,36.78157424926758,37.091712951660156,37.525367736816406
2023-01-03,XLB,4,36.314456939697266,34.9303092956543,35.422821044921875,35.7619514465332,36.04569625854492,36.314456939697266,36.59101486206055,36.883365631103516,37.2413444519043,37.743385314941406
2023-01-03,XLB,5,36.31291198730469,34.79104995727539,35.34452438354492,35.7197380065918,36.0284309387207,36.31291198730469,36.60912322998047,36.92167663574219,37.31237030029297,37.85322952270508
2023-01-03,XLB,6,36.32865524291992,34.6602668762207,35.25689697265625,35.66516876220703,36.009605407714844,36.32865524291992,36.65966796875,37.00825881958008,37.43901062011719,38.042320251464844
2023-01-03,XLB,7,36.36980438232422,34.53690719604492,35.191097259521484,35.643978118896484,36.01806640625,36.36980438232422,36.731441497802734,37.102481842041016,37.56406021118164,38.20319366455078
2023-01-03,XLB,8,36.41673278808594,34.4743537902832,35.163150787353516,35.64299011230469,36.043487548828125,36.41673278808594,36.80366516113281,37.20340347290039,37.70625305175781,38.41700744628906
2023-01-03,XLB,9,36.470703125,34.36663818359375,35.12751770019531,35.64677429199219,36.074546813964844,36.470703125,36.8699836730957,37.2852783203125,37.802818298339844,38.5224609375
2023-01-03,XLB,10,36.52709197998047,34.29484939575195,35.08202362060547,35.632667541503906,36.10010528564453,36.52709197998047,36.9528923034668,37.403648376464844,37.95844268798828,38.72233581542969
2023-01-03,XLB,11,36.5465202331543,34.16754150390625,35.02914047241211,35.609405517578125,36.09530258178711,36.5465202331543,37.00019073486328,37.4735221862793,38.057193756103516,38.84690856933594
2023-01-03,XLB,12,36.56440734863281,34.09358215332031,34.980838775634766,35.59648132324219,36.10164260864258,36.56440734863281,37.02781295776367,37.515892028808594,38.114990234375,38.94151306152344
2023-01-03,XLB,13,36.56577682495117,34.04194641113281,34.92749786376953,35.555179595947266,36.079376220703125,36.56577682495117,37.05591583251953,37.57008361816406,38.19432067871094,39.050106048583984
2023-01-03,XLB,14,36.55074691772461,33.895591735839844,34.823360443115234,35.48673629760742,36.044219970703125,36.55074691772461,37.054203033447266,37.57311248779297,38.223751068115234,39.140926361083984
2023-01-03,XLB,15,36.542110443115234,33.864105224609375,34.792816162109375,35.46556091308594,36.02683639526367,36.542110443115234,37.0621223449707,37.59788131713867,38.26887512207031,39.17761993408203
2023-01-03,XLB,16,36.570587158203125,33.76957321166992,34.75227737426758,35.453433990478516,36.035194396972656,36.570587158203125,37.10544967651367,37.65558624267578,38.336891174316406,39.28791427612305
2023-01-03,XLB,17,36.48707580566406,33.10798263549805,34.32732391357422,35.16325378417969,35.856346130371094,36.48707580566406,37.12967300415039,37.7640380859375,38.531036376953125,39.58434295654297
2023-01-03,XLB,18,36.4512825012207,32.9277229309082,34.205875396728516,35.082237243652344,35.80251693725586,36.4512825012207,37.111175537109375,37.76524353027344,38.56866455078125,39.67266082763672
2023-01-03,XLB,19,36.43515396118164,32.91223907470703,34.17970275878906,35.05500030517578,35.78050994873047,36.43515396118164,37.109527587890625,37.783843994140625,38.621524810791016,39.78013610839844
2023-01-03,XLB,20,36.46833801269531,32.850406646728516,34.152244567871094,35.04948425292969,35.79487609863281,36.46833801269531,37.15970993041992,37.8502197265625,38.692867279052734,39.838741302490234
2023-01-03,XLB,21,36.46393585205078,32.783668518066406,34.12385559082031,35.03253173828125,35.78053283691406,36.46393585205078,37.16278076171875,37.8534049987793,38.678184509277344,39.818450927734375
2023-01-03,XLC,1,46.00857925415039,44.547386169433594,45.02754211425781,45.46615982055664,45.62907409667969,46.00857925415039,46.21514129638672,46.59843444824219,46.89788818359375,47.45030975341797
2023-01-03,XLC,2,45.87540817260742,44.193199157714844,44.729705810546875,45.24045944213867,45.49288558959961,45.87540817260742,46.10004425048828,46.439247131347656,46.92365264892578,47.48342514038086
2023-01-03,XLC,3,45.832275390625,43.72151565551758,44.48157501220703,44.95835876464844,45.374732971191406,45.832275390625,46.09699249267578,46.49394226074219,47.0296516418457,47.58271789550781
2023-01-03,XLC,4,45.63410949707031,43.483154296875,44.29790115356445,44.82942199707031,45.2947998046875,45.63410949707031,46.17593002319336,46.50636291503906,47.08075714111328,47.78105926513672
2023-01-03,XLC,5,45.58799743652344,43.1609992980957,44.031158447265625,44.727760314941406,45.22486114501953,45.58799743652344,46.02153778076172,46.48918151855469,47.18764877319336,47.88991165161133
2023-01-03,XLC,6,45.548824310302734,42.928985595703125,43.89976501464844,44.55653381347656,45.12322998046875,45.548824310302734,46.14287567138672,46.545108795166016,47.202056884765625,48.13445281982422
2023-01-03,XLC,7,45.53315734863281,42.76582336425781,43.717281341552734,44.53960418701172,45.10893249511719,45.53315734863281,46.143882751464844,46.571258544921875,47.24150848388672,48.157798767089844
2023-01-03,XLC,8,45.53289794921875,42.524112701416016,43.56843566894531,44.43318557739258,44.936676025390625,45.53289794921875,46.117244720458984,46.72288131713867,47.43201446533203,48.388099670410156
2023-01-03,XLC,9,45.51117706298828,42.319854736328125,43.50635528564453,44.20123291015625,44.84825134277344,45.51117706298828,46.02465057373047,46.65598678588867,47.423851013183594,48.479705810546875
2023-01-03,XLC,10,45.50843811035156,42.244171142578125,43.34451675415039,44.236839294433594,44.86415100097656,45.50843811035156,46.05866241455078,46.780094146728516,47.580833435058594,48.63654327392578
2023-01-03,XLC,11,45.55607604980469,42.0894660949707,43.373809814453125,44.124610900878906,44.83394241333008,45.55607604980469,46.09967803955078,46.806976318359375,47.584388732910156,48.663597106933594
2023-01-03,XLC,12,45.54343032836914,41.91523361206055,43.1810302734375,44.155303955078125,44.793365478515625,45.54343032836914,46.14396667480469,46.919254302978516,47.7143440246582,48.87141418457031
2023-01-03,XLC,13,45.54378128051758,41.7574462890625,43.03508377075195,44.099143981933594,44.838287353515625,45.54378128051758,46.19073486328125,47.00700378417969,47.889976501464844,49.11720657348633
2023-01-03,XLC,14,45.50299835205078,41.5328483581543,43.046485900878906,43.99039077758789,44.711578369140625,45.50299835205078,46.158363342285156,46.94239044189453,47.83061218261719,49.02391052246094
2023-01-03,XLC,15,45.42427062988281,41.373775482177734,42.866729736328125,43.855552673339844,44.624778747558594,45.42427062988281,46.135746002197266,46.967124938964844,47.806800842285156,49.07986068725586
2023-01-03,XLC,16,45.37599182128906,41.33925247192383,42.85247802734375,43.876346588134766,44.62828826904297,45.37599182128906,46.22529220581055,46.92325973510742,47.88304138183594,49.24175262451172
2023-01-03,XLC,17,45.342384338378906,41.29217529296875,42.72150421142578,43.81279754638672,44.47021484375,45.342384338378906,46.04628372192383,46.907249450683594,47.809696197509766,49.24467468261719
2023-01-03,XLC,18,45.287879943847656,41.020957946777344,42.50642395019531,43.6610221862793,44.42279815673828,45.287879943847656,46.014217376708984,46.847511291503906,47.911476135253906,49.264915466308594
2023-01-03,XLC,19,45.309242248535156,40.70266342163086,42.37018966674805,43.454315185546875,44.37306213378906,45.309242248535156,46.050628662109375,46.93357849121094,48.05479049682617,49.41893768310547
2023-01-03,XLC,20,45.11140441894531,40.5915641784668,42.27123260498047,43.37940979003906,44.32537078857422,45.11140441894531,46.130165100097656,46.93363952636719,48.089881896972656,49.54195785522461
2023-01-03,XLC,21,45.13501739501953,40.273582458496094,42.022300720214844,43.337791442871094,44.332305908203125,45.13501739501953,45.99802780151367,46.88482666015625,48.05315017700195,49.40835952758789
