date,etf,day_ahead,mean,q10,q20,q30,q40,q50,q60,q70,q80,q90
2023-01-03,XLB,1,36.204280853271484,35.51606369018555,35.7443962097168,35.9183349609375,36.06886291503906,36.204280853271484,36.33988571166992,36.4769172668457,36.65090560913086,36.911746978759766
2023-01-03,XLB,2,36.204254150390625,35.18449401855469,35.551300048828125,35.809104919433594,36.01496124267578,36.204254150390625,36.39247131347656,36.5911865234375,36.838958740234375,37.19183349609375
2023-01-03,XLB,3,36.182369232177734,34.94286346435547,35.38004684448242,35.687286376953125,35.94501495361328,36.182369232177734,36.42600631713867,36.679405212402344,36.9906005859375,37.41929626464844
2023-01-03,XLB,4,36.1802864074707,34.75849914550781,35.266353607177734,35.61766815185547,35.908363342285156,36.1802864074707,36.459442138671875,36.75153350830078,37.106632232666016,37.594608306884766
2023-01-03,XLB,5,36.177650451660156,34.62336730957031,35.1888427734375,35.57610321044922,35.89128112792969,36.177650451660156,36.47443771362305,36.786598205566406,37.173484802246094,37.6976203918457
2023-01-03,XLB,6,36.171504974365234,34.48463439941406,35.08413314819336,35.49946594238281,35.85028839111328,36.171504974365234,36.500423431396484,36.84223556518555,37.26215744018555,37.84157180786133
2023-01-03,XLB,7,36.177207946777344,34.33689880371094,34.991554260253906,35.450496673583984,35.82723617553711,36.177207946777344,36.5339241027832,36.897117614746094,37.34558868408203,37.95962142944336
2023-01-03,XLB,8,36.15923309326172,34.234283447265625,34.913150787353516,35.392723083496094,35.789772033691406,36.15923309326172,36.54083251953125,36.9332389831543,37.42258834838867,38.10786819458008
2023-01-03,XLB,9,36.17595291137695,34.117576599121094,34.85508346557617,35.36417007446289,35.78422927856445,36.17595291137695,36.57012176513672,36.977291107177734,37.474517822265625,38.155879974365234
2023-01-03,XLB,10,36.1893424987793,34.03114318847656,34.79340362548828,35.32578659057617,35.77584457397461,36.1893424987793,36.59932327270508,37.030792236328125,37.556976318359375,38.28601837158203
2023-01-03,XLB,11,36.18699264526367,33.88861846923828,34.713932037353516,35.279319763183594,35.7505989074707,36.18699264526367,36.62220764160156,37.07075881958008,37.619468688964844,38.366580963134766
2023-01-03,XLB,12,36.183990478515625,33.834251403808594,34.674888610839844,35.260704040527344,35.742069244384766,36.183990478515625,36.62700653076172,37.0920295715332,37.65839385986328,38.44033432006836
2023-01-03,XLB,13,36.21261978149414,33.822776794433594,34.66426467895508,35.25767135620117,35.752925872802734,36.21261978149414,36.67728805541992,37.16162109375,37.74620819091797,38.55088424682617
2023-01-03,XLB,14,36.19938659667969,33.697723388671875,34.572086334228516,35.192134857177734,35.71650695800781,36.19938659667969,36.67942810058594,37.17180633544922,37.782894134521484,38.64216232299805
2023-01-03,XLB,15,36.21329116821289,33.68181228637695,34.5673942565918,35.19857406616211,35.72555160522461,36.21329116821289,36.70613479614258,37.21080017089844,37.834861755371094,38.68864059448242
2023-01-03,XLB,16,36.234832763671875,33.615234375,34.535465240478516,35.18556213378906,35.72828674316406,36.234832763671875,36.74138259887695,37.25785446166992,37.89267349243164,38.782684326171875
2023-01-03,XLB,17,36.18772506713867,33.33030319213867,34.349632263183594,35.05906295776367,35.64735794067383,36.18772506713867,36.738929748535156,37.3016471862793,37.98294448852539,38.912750244140625
2023-01-03,XLB,18,36.161190032958984,33.159080505371094,34.2274284362793,34.97933578491211,35.598052978515625,36.161190032958984,36.72660446166992,37.30345153808594,38.010520935058594,38.990604400634766
2023-01-03,XLB,19,36.1690673828125,33.11307144165039,34.20577621459961,34.969661712646484,35.599273681640625,36.1690673828125,36.74635696411133,37.333221435546875,38.0538444519043,39.059165954589844
