arm_1,arm_2,strategy,periods,sharpe_diff,bootstrap_ci_2.5,bootstrap_ci_97.5,bootstrap_p_two_sided
A,B,MV_CAP,42,0.2642440875214017,-0.20243719123520987,0.7351083762777298,0.2396
C,B,MV_CAP,42,0.21586525538447454,-0.2838565440259967,0.7571151414843599,0.3148
C,A,MV_CAP,42,-0.048378832136927175,-0.42595280005453556,0.41311408436345115,0.8362
