arm,strategy,total_return_pct,ann_sharpe,max_drawdown_pct,avg_turnover,periods
A,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
A,MV_CAP,65.35666744954251,1.0980781466257556,-12.7595124690286,1.012091330106163,42
B,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
B,MV_CAP,44.92231042039086,0.8338340591043557,-16.396095935992662,0.7556622404047401,42
C,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
C,MV_CAP,63.46269308853793,1.0496993144888296,-16.082705553134392,0.9615617652689765,42
