arm,median_MAPE_pct,mean_quantile_loss_pct,return_MAE_pct,return_RMSE_pct,directional_accuracy_pct,mean_rank_IC
A,2.9571639385042534,1.2622113956596586,3.976401932475099,5.296895746085265,49.56709956709957,0.05
A_wo_Gold,2.983272862740537,1.2680648028711665,3.9695593302636536,5.298260781621799,50.43290043290043,0.028571428571428574
A_wo_Oil_WTI,2.9187568818477496,1.261243301222419,3.971110186000621,5.305919568192265,48.917748917748916,0.01558441558441557
A_wo_US10Y_yield,2.8978137853546473,1.2606340459086425,3.9737100580770686,5.301954399094984,49.35064935064935,0.05714285714285714
A_wo_USD_index,2.9551109489041973,1.2615579554516572,3.9714944239276315,5.288077046937224,48.484848484848484,0.07943722943722945
A_wo_VIX_volatility,3.0100508281117326,1.269437977589611,4.027567552813786,5.376862984832822,52.16450216450217,0.07034632034632034
