arm,strategy,total_return_pct,ann_sharpe,max_drawdown_pct,avg_turnover,periods
A,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
A,MV_CAP,65.35666744954251,1.0980781466257556,-12.7595124690286,1.012091330106163,42
A_wo_Gold,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
A_wo_Gold,MV_CAP,58.84996288195508,1.027374104535624,-13.853791061368392,0.9626547471327311,42
A_wo_Oil_WTI,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
A_wo_Oil_WTI,MV_CAP,49.32378725230775,0.9304705768886129,-13.530858316252381,1.0062784190654883,42
A_wo_US10Y_yield,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
A_wo_US10Y_yield,MV_CAP,63.627061819112264,1.0897524692760385,-13.172662136933887,0.9372548245980116,42
A_wo_USD_index,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
A_wo_USD_index,MV_CAP,63.43199655672556,1.0747917314593483,-12.927921897025618,1.0052523596451375,42
A_wo_VIX_volatility,EW,72.43428624574855,1.2743568974257373,-14.7388958213045,0.0,42
A_wo_VIX_volatility,MV_CAP,64.28725695699215,1.1110492792450508,-10.780069102354595,0.9535917105786712,42
