arm,median_MAPE_pct,mean_quantile_loss_pct,return_MAE_pct,return_RMSE_pct,directional_accuracy_pct,mean_rank_IC
A,2.9571639385042534,1.2622113956596586,3.976401932475099,5.296895746085265,49.56709956709957,0.05
B,3.0281229078752436,1.286982701055192,4.033541049346036,5.509054250255965,53.896103896103895,0.006060606060606062
C,2.9674698750959445,1.3749751127982794,3.945341762322473,5.466324993864205,51.94805194805194,0.10670995670995673
